dob_yy,dob_mm,apgar5,births
2019,10,2,483
2019,10,3,540
2019,10,4,790
2019,10,5,1469
2019,10,6,2657
2019,10,7,6772
2019,10,8,35967
2019,10,9,269295
2019,10,10,6278
2019,10,99,1109
2019,11,0,172
2019,11,1,569
2019,11,2,510
2019,11,3,565
2019,11,4,755
2019,11,5,1291
2019,11,6,2550
2019,11,7,6184
2019,11,8,33634
2019,11,9,245756
2019,11,10,5756
2019,11,99,1157
2019,12,0,192
2019,12,1,602
2019,12,2,451
2019,12,3,552
2019,12,4,760
2019,12,5,1344
2019,12,6,2412
2019,12,7,6556
2019,12,8,34572
2019,12,9,255181
2019,12,10,5886
2019,12,99,1099
1986,1,0,176
1986,1,1,547
1986,1,10,45718
1986,1,2,277
1986,1,3,320
1986,1,4,404
1986,1,5,813
1986,1,6,1735
1986,1,7,4489
1986,1,8,20082
1986,1,9,158980
1986,1,99,72975
1986,10,0,179
1986,10,1,553
1986,10,10,45559
1986,10,2,266
